training_hash,model_name,model_path,train_loss,train_acc,test_loss,test_acc,frozen,epoch,train_img_count,test_img_count,learning_rate
91e3699835467264,resnet18,saved_tensors/models/resnet18_91e3699835467264,1515.2617,66.7731,4239.2979,66.2745,True,1,3133,765,0.001
91e3699835467264,resnet18,saved_tensors/models/resnet18_91e3699835467264,1457.815,66.7092,2742.2297,66.1438,True,2,3133,765,0.001
91e3699835467264,resnet18,saved_tensors/models/resnet18_91e3699835467264,1355.3055,66.9646,2535.8544,66.2745,True,3,3133,765,0.001
91e3699835467264,resnet18,saved_tensors/models/resnet18_91e3699835467264,1255.7631,66.6454,3133.3747,66.2745,True,4,3133,765,0.001
91e3699835467264,resnet18,saved_tensors/models/resnet18_91e3699835467264,1271.9602,66.9007,3936.9495,66.2745,True,5,3133,765,0.001
91e3699835467264,resnet18,saved_tensors/models/resnet18_91e3699835467264,1193.2737,66.7731,3887.703,66.2745,True,6,3133,765,0.001
91e3699835467264,resnet18,saved_tensors/models/resnet18_91e3699835467264,1270.8744,67.1561,5411.7333,66.1438,True,7,3133,765,0.001
91e3699835467264,resnet18,saved_tensors/models/resnet18_91e3699835467264,1061.5459,66.9646,3366.6472,66.1438,True,8,3133,765,0.001
91e3699835467264,resnet18,saved_tensors/models/resnet18_91e3699835467264,997.7287,66.8688,2229.1848,66.1438,True,9,3133,765,0.001
91e3699835467264,resnet18,saved_tensors/models/resnet18_91e3699835467264,951.8635,66.7092,1333.1036,66.4052,True,10,3133,765,0.001
