training_hash,model_name,model_path,train_loss,train_acc,test_loss,test_acc,frozen,epoch,train_img_count,test_img_count,learning_rate
af4b1cb2d8aa0310,resnet18,/saved_tensors/models/resnet18_af4b1cb2d8aa0310.pt,0.8640000000000001,71.3374,0.777,77.2549,True,1,3133,765,0.001
af4b1cb2d8aa0310,resnet18,/saved_tensors/models/resnet18_af4b1cb2d8aa0310.pt,0.6191,76.9869,0.4431,83.7908,True,2,3133,765,0.001
af4b1cb2d8aa0310,resnet18,/saved_tensors/models/resnet18_af4b1cb2d8aa0310.pt,0.5697,78.8382,0.5135,79.2157,True,3,3133,765,0.001
af4b1cb2d8aa0310,resnet18,/saved_tensors/models/resnet18_af4b1cb2d8aa0310.pt,0.5616,78.7743,0.5866,78.1699,True,4,3133,765,0.001
af4b1cb2d8aa0310,resnet18,/saved_tensors/models/resnet18_af4b1cb2d8aa0310.pt,0.5476,79.8915,0.429,86.1438,True,5,3133,765,0.001
af4b1cb2d8aa0310,resnet18,/saved_tensors/models/resnet18_af4b1cb2d8aa0310.pt,0.6219,77.3699,0.6636,77.6471,True,6,3133,765,0.001
af4b1cb2d8aa0310,resnet18,/saved_tensors/models/resnet18_af4b1cb2d8aa0310.pt,0.5481,79.7957,0.5001,81.0458,True,7,3133,765,0.001
af4b1cb2d8aa0310,resnet18,/saved_tensors/models/resnet18_af4b1cb2d8aa0310.pt,0.5229,79.3169,0.4496,82.4837,True,8,3133,765,0.001
af4b1cb2d8aa0310,resnet18,/saved_tensors/models/resnet18_af4b1cb2d8aa0310.pt,0.5097,80.7214,0.614,80.1307,True,9,3133,765,0.001
af4b1cb2d8aa0310,resnet18,/saved_tensors/models/resnet18_af4b1cb2d8aa0310.pt,0.4906,82.1258,0.6591,79.085,True,10,3133,765,0.001
af4b1cb2d8aa0310,resnet18,/saved_tensors/models/resnet18_af4b1cb2d8aa0310.pt,0.5337,80.1468,0.3977,85.2288,False,11,3133,765,0.001
af4b1cb2d8aa0310,resnet18,/saved_tensors/models/resnet18_af4b1cb2d8aa0310.pt,0.4701,81.9342,0.5415,79.6078,False,12,3133,765,0.001
af4b1cb2d8aa0310,resnet18,/saved_tensors/models/resnet18_af4b1cb2d8aa0310.pt,0.4493,83.1152,0.4389,82.6144,False,13,3133,765,0.001
af4b1cb2d8aa0310,resnet18,/saved_tensors/models/resnet18_af4b1cb2d8aa0310.pt,0.4295,84.3281,0.6353,80.5229,False,14,3133,765,0.001
af4b1cb2d8aa0310,resnet18,/saved_tensors/models/resnet18_af4b1cb2d8aa0310.pt,0.4404,84.1047,0.3797,84.9673,False,15,3133,765,0.001
af4b1cb2d8aa0310,resnet18,/saved_tensors/models/resnet18_af4b1cb2d8aa0310.pt,0.3369,87.2965,0.3241,86.7974,False,16,3133,765,0.0001
af4b1cb2d8aa0310,resnet18,/saved_tensors/models/resnet18_af4b1cb2d8aa0310.pt,0.3017,88.9563,0.3437,86.4052,False,17,3133,765,0.0001
af4b1cb2d8aa0310,resnet18,/saved_tensors/models/resnet18_af4b1cb2d8aa0310.pt,0.2973,88.8286,0.3399,86.2745,False,18,3133,765,0.0001
af4b1cb2d8aa0310,resnet18,/saved_tensors/models/resnet18_af4b1cb2d8aa0310.pt,0.2722,89.7223,0.3119,87.8431,False,19,3133,765,0.0001
